"","fips","year","state","county","combined_ypll_rate","percent_fair_or_poor_health","average_number_of_physically_unhealthy_days","mental_health_provider_rate","average_number_of_mentally_unhealthy_days","smokers","excessive_drinking","unemployed","labor_force","violent_crime_rates","income_ratio","severe_housing_problems"
"148",41021,2015,"Oregon","Gilliam",NA,NA,NA,51.36107,NA,NA,NA,72,1050,35.00788,"3.8891823113999999",10
"149",41023,2015,"Oregon","Grant",4708.24,9.7,NA,109.84484,NA,25.6,21.6,393,3337,13.37375,"4.7376381258000002",12.13018
"150",41025,2015,"Oregon","Harney",9401.67,25.3,NA,321.85838,NA,NA,NA,386,3129,67.1201,"3.9699879951999999",14.13374
"151",41027,2015,"Oregon","Hood River",4674.02,14.8,NA,211.68688,NA,9.6,18.2,862,14215,110.60782,"3.7014454358000002",18.09872
"152",41029,2015,"Oregon","Jackson",6474.72,15.1,NA,224.412,NA,18.6,14.2,9293,97698,297.63309,"4.4135472371000004",23.66649
"153",41031,2015,"Oregon","Jefferson",9124.47,12.9,NA,85.12651,NA,16.7,18.6,979,9122,82.32084,"3.8105729015000001",17.78203
"154",41033,2015,"Oregon","Josephine",7907.04,17.2,NA,423.73899,NA,23.5,13.9,3567,32690,210.49851,"4.7396382817999996",25.10151
"155",41035,2015,"Oregon","Klamath",8696.46,17.6,NA,207.8592,NA,22.6,13.6,3107,28905,233.63893,"4.6641042580000001",18.8824
"156",41037,2015,"Oregon","Lake",6955.36,10.2,NA,102.30179,NA,NA,NA,397,3573,329.32236,"4.1378480784000002",18.06543
"157",41039,2015,"Oregon","Lane",6159.54,14.2,NA,580.27242,NA,17.5,16.9,13163,172339,262.34597,"4.9275128308999996",20.70025
"158",41041,2015,"Oregon","Lincoln",7692.02,14,NA,237.3247,NA,23.9,19.1,1795,21916,365.22904,"4.3311230396999996",18.29562
"159",41043,2015,"Oregon","Linn",6045.69,17.9,NA,103.56587,NA,20.2,16.7,5169,53237,118.23039,"4.0834327172",16.56805
"160",41045,2015,"Oregon","Malheur",6314.03,15.8,NA,292.00433,NA,22.8,14,1096,12598,219.81404,"5.0331746920000002",17.95998
"161",41047,2015,"Oregon","Marion",6443.95,14.4,NA,253.3883,NA,15.1,12.2,12750,151876,232.42106,"4.0951253481999998",21.27792
"162",41049,2015,"Oregon","Morrow",5599.94,16.6,NA,211.71489,NA,23.4,16.3,416,5339,177.97289,"3.8796218949000001",16.21271
"163",41051,2015,"Oregon","Multnomah",6107.7,12.8,NA,552.51359,NA,13.5,19.2,27586,400250,487.37696,"5.0238415044",22.63214
"164",41053,2015,"Oregon","Polk",5212.89,16.1,NA,196.62995,NA,13.3,11.7,2860,37856,238.00966,"4.5419188725000001",18.19637
"165",41055,2015,"Oregon","Sherman",NA,NA,NA,NA,NA,NA,NA,73,1000,37.88596,"5.3026158960999998",10.17964
"166",41057,2015,"Oregon","Tillamook",6878.45,9.7,NA,165.89643,NA,18.2,22,885,12300,70.72506,"3.7337624625000001",18.91644
"167",41059,2015,"Oregon","Umatilla",7165.47,20,NA,165.53702,NA,21.7,14.6,3117,38255,230.06372,"4.4063325854000004",16.30293
"168",41061,2015,"Oregon","Union",6578.02,14.1,NA,167.62826,NA,14.5,12.2,976,11950,157.45488,"4.7623173338000004",16.42651
"169",41063,2015,"Oregon","Wallowa",6662.84,NA,NA,117.40534,NA,13.2,21.1,350,3535,23.66192,"4.7442754663000004",16.91297
