"","X","fips","year","state","county","combined_overdose_mortality_rate","combined_overdose_deaths","child_mortality_rate","infant_mortality_rate","age_adjusted_mortality","combined_household_income"
"214",214,6079,2015,"California","San Luis Obispo",13.339159878,250,NA,NA,NA,57743
"215",215,6081,2015,"California","San Mateo",7.9615870471,397,NA,NA,NA,91061
"216",216,6083,2015,"California","Santa Barbara",10.893375976,320,NA,NA,NA,60803
"217",217,6085,2015,"California","Santa Clara",7.1730720444,885,NA,NA,NA,91843
"218",218,6087,2015,"California","Santa Cruz",16.364492907,297,NA,NA,NA,65282
"219",219,6089,2015,"California","Shasta",28.610043495,355,NA,NA,NA,41236
"220",220,6091,2015,"California","Sierra",NA,NA,NA,NA,NA,46449
"221",221,6093,2015,"California","Siskiyou",19.866637187,62,NA,NA,NA,37108
"222",222,6095,2015,"California","Solano",10.358641099,299,NA,NA,NA,63398
"223",223,6097,2015,"California","Sonoma",13.078776937,438,NA,NA,NA,61020
"224",224,6099,2015,"California","Stanislaus",15.636523574,561,NA,NA,NA,47808
"225",225,6101,2015,"California","Sutter",13.090399866,86,NA,NA,NA,47903
"226",226,6103,2015,"California","Tehama",13.644333167,60,NA,NA,NA,43459
"227",227,6105,2015,"California","Trinity",21.935551261,21,NA,NA,NA,35708
"228",228,6107,2015,"California","Tulare",7.0895448906,216,NA,NA,NA,39657
"229",229,6109,2015,"California","Tuolumne",25.673281816,100,NA,NA,NA,50774
"230",230,6111,2015,"California","Ventura",11.662189448,666,NA,NA,NA,76513
"231",231,6113,2015,"California","Yolo",7.7814283244,108,NA,NA,NA,55011
"232",232,6115,2015,"California","Yuba",5.787591404,29,NA,NA,NA,41824
"233",233,53000,2015,"Washington","year_state_total",14.522638299,6755,NA,NA,NA,58431
"234",234,53001,2015,"Washington","Adams",NA,NA,NA,NA,NA,45171
"235",235,53003,2015,"Washington","Asotin",17.931501664,27,NA,NA,NA,42842
"236",236,53005,2015,"Washington","Benton",10.942372123,131,NA,NA,NA,59264
"237",237,53007,2015,"Washington","Chelan",16.339250666,82,NA,NA,NA,50033
"238",238,53009,2015,"Washington","Clallam",25.967281226,129,NA,NA,NA,46531
"239",239,53011,2015,"Washington","Clark",14.028037053,413,NA,NA,NA,57886
"240",240,53013,2015,"Washington","Columbia",NA,NA,NA,NA,NA,42332
"241",241,53015,2015,"Washington","Cowlitz",22.234606053,158,NA,NA,NA,48447
"242",242,53017,2015,"Washington","Douglas",12.880544317,34,NA,NA,NA,49293
"243",243,53019,2015,"Washington","Ferry",NA,NA,NA,NA,NA,38302
"244",244,53021,2015,"Washington","Franklin",6.0965503051,32,NA,NA,NA,52720
"245",245,53023,2015,"Washington","Garfield",NA,NA,NA,NA,NA,46157
"246",246,53025,2015,"Washington","Grant",14.800854503,90,NA,NA,NA,46065
"247",247,53027,2015,"Washington","Grays Harbor",18.826308478,95,NA,NA,NA,41791
"248",248,53029,2015,"Washington","Island",11.430873155,63,NA,NA,NA,53306
"249",249,53031,2015,"Washington","Jefferson",18.786398647,39,NA,NA,NA,47709
"250",250,53033,2015,"Washington","King",13.047645753,1744,NA,NA,NA,71779
"251",251,53035,2015,"Washington","Kitsap",12.488342304,218,NA,NA,NA,62516
"252",252,53037,2015,"Washington","Kittitas",7.0787690021,20,NA,NA,NA,47287
"253",253,53039,2015,"Washington","Klickitat",11.29847753,16,NA,NA,NA,47960
"254",254,53041,2015,"Washington","Lewis",18.29480942,96,NA,NA,NA,41325
"255",255,53043,2015,"Washington","Lincoln",NA,NA,NA,NA,NA,47895
"256",256,53045,2015,"Washington","Mason",17.454969765,73,NA,NA,NA,46886
"257",257,53047,2015,"Washington","Okanogan",17.621890617,50,NA,NA,NA,39014
"258",258,53049,2015,"Washington","Pacific",23.051316298,34,NA,NA,NA,35703
"259",259,53051,2015,"Washington","Pend Oreille",21.00515179,19,NA,NA,NA,44882
"260",260,53053,2015,"Washington","Pierce",14.947804688,827,NA,NA,NA,57619
"261",261,53055,2015,"Washington","San Juan",11.881803475,13,NA,NA,NA,56667
"262",262,53057,2015,"Washington","Skagit",15.881145018,129,NA,NA,NA,52525
"263",263,53059,2015,"Washington","Skamania",19.574068274,15,NA,NA,NA,52967
"264",264,53061,2015,"Washington","Snohomish",17.910818744,882,NA,NA,NA,67443
"265",265,53063,2015,"Washington","Spokane",20.707355904,674,NA,NA,NA,47577
"266",266,53065,2015,"Washington","Stevens",15.514828215,47,NA,NA,NA,43675
"267",267,53067,2015,"Washington","Thurston",12.298525043,213,NA,NA,NA,59877
"268",268,53069,2015,"Washington","Wahkiakum",NA,NA,NA,NA,NA,46659
"269",269,53071,2015,"Washington","Walla Walla",10.81782778,44,NA,NA,NA,46294
"270",270,53073,2015,"Washington","Whatcom",10.875820458,151,NA,NA,NA,51119
"271",271,53075,2015,"Washington","Whitman",4.8324586583,15,NA,NA,NA,42702
"272",272,53077,2015,"Washington","Yakima",8.8924697492,149,NA,NA,NA,41918
"273",273,41000,2016,"Oregon","year_state_total",12.432564777,1467,43.091823863,5.144534765,308.5,51088
"274",274,41001,2016,"Oregon","Baker",NA,NA,NA,NA,333.5,38966
"275",275,41003,2016,"Oregon","Benton",6.1695785792,16,43.909276679,NA,228.7,54089
"276",276,41005,2016,"Oregon","Clackamas",10.96743016,128,31.836632594,4.245673371,262.2,65555
"277",277,41007,2016,"Oregon","Clatsop",15.175996929,17,66.858327205,NA,371.9,45132
"278",278,41009,2016,"Oregon","Columbia",13.505392028,20,30.741529611,NA,329.4,57517
"279",279,41011,2016,"Oregon","Coos",9.6107127411,18,51.135637278,NA,424.3,39956
"280",280,41013,2016,"Oregon","Crook",NA,NA,NA,NA,303.8,38155
"281",281,41015,2016,"Oregon","Curry",NA,NA,NA,NA,426.4,40524
"282",282,41017,2016,"Oregon","Deschutes",9.8271425678,49,35.881370668,4.4836116265,257.9,52387
"283",283,41019,2016,"Oregon","Douglas",12.769562347,41,58.342376402,6.1672876783,394,41504
"284",284,41021,2016,"Oregon","Gilliam",NA,NA,NA,NA,414,51978
"285",285,41023,2016,"Oregon","Grant",NA,NA,NA,NA,268.1,41304
"286",286,41025,2016,"Oregon","Harney",NA,NA,NA,NA,383,36340
"287",287,41027,2016,"Oregon","Hood River",NA,NA,NA,NA,277.9,54063
"288",288,41029,2016,"Oregon","Jackson",17.11331896,107,36.738315803,4.3864993298,330.9,44835
"289",289,41031,2016,"Oregon","Jefferson",NA,NA,74.104951137,NA,380.7,42753
"290",290,41033,2016,"Oregon","Josephine",14.809774451,37,54.117434834,7.8780613119,405.3,37230
"291",291,41035,2016,"Oregon","Klamath",9.1242263416,18,62.08181003,8.591969139,392.5,39234
"292",292,41037,2016,"Oregon","Lake",NA,NA,NA,NA,269.6,40328
"293",293,41039,2016,"Oregon","Lane",14.591835494,156,39.351286751,5.2239987336,329.8,44976
"294",294,41041,2016,"Oregon","Lincoln",25.916620473,36,NA,NA,372.9,40226
"295",295,41043,2016,"Oregon","Linn",17.672751142,63,38.333303618,5.5040556199,333.4,44358
"296",296,41045,2016,"Oregon","Malheur",12.02606376,11,35.249631481,NA,355.3,35094
"297",297,41047,2016,"Oregon","Marion",8.6623925322,84,47.684740883,6.0101571656,322.3,48554
"298",298,41049,2016,"Oregon","Morrow",NA,NA,NA,NA,324.8,51839
"299",299,41051,2016,"Oregon","Multnomah",16.463207771,379,45.282870278,5.3551377652,328.8,53519
"300",300,41053,2016,"Oregon","Polk",6.9245184214,16,33.120808148,3.5152326749,281.2,52626
